category,subcategory,question
Data Ownership & Stewardship ,Data Impact Assessment,Has data stewardship improved business performance or efficiency?
Data Ownership & Stewardship ,Data Impact Assessment,Has the data directly contributed to increased revenue generation?
Data Ownership & Stewardship ,Data Impact Assessment,Has improved data management led to a reduction in operational costs?
Data Ownership & Stewardship ,Data Impact Assessment,Has effective data governance contributed to better risk management?
Data Ownership & Stewardship ,Data Impact Assessment,Are data-driven insights used to optimise internal processes and workflows?
Data Ownership & Stewardship ,Data Impact Assessment,Is there a structured feedback mechanism to assess the impact of data?
Data Ownership & Stewardship ,"Data Literacy	",How comfortable are employees with interpreting and analysing data?
Data Ownership & Stewardship ,"Data Literacy	",Do employees have access to structured training programmes to enhance their data literacy?
Data Ownership & Stewardship ,"Data Literacy	",How often do employees engage with data-driven reports and dashboards?
Data Ownership & Stewardship ,"Data Literacy	",Are employees encouraged to apply data insights in their daily operations?
Data Ownership & Stewardship ,"Data Literacy	",Is there a dedicated team responsible for promoting data literacy across the organisation?
Data Ownership & Stewardship ,"Data Literacy	",Do business leaders and managers receive training on leveraging data for decision-making?
Data Ownership & Stewardship ,"Data Literacy	",How easily can employees access and share data across departments?
Data Ownership & Stewardship ,"Data Literacy	",Is there a culture of collaboration around data stewardship and governance?
Data Ownership & Stewardship ,"Data Tools & Technology	",Does the organisation have modern data management and analytics tools in place?
Data Ownership & Stewardship ,"Data Tools & Technology	",How up-to-date is the organisation in adopting the latest data stewardship technologies?
Data Ownership & Stewardship ,"Data Tools & Technology	",Are employees trained to use data tools effectively?
Data Ownership & Stewardship ,"Data Tools & Technology	",Are AI-driven insights or automation tools integrated into data stewardship processes?
Data Ownership & Stewardship ,"Data Tools & Technology	",Are centralised data repositories available and accessible to relevant teams?
Data Ownership & Stewardship ,"Data Tools & Technology	",Do collaboration tools support secure and efficient data sharing?
Data Ownership & Stewardship ,"Data Tools & Technology	",Is data security and compliance embedded within data management tools?
Data Ownership & Stewardship ,"Data Tools & Technology	",Are data tools regularly evaluated and updated to meet industry best practices?
Data Ownership & Stewardship ,"Data Tools & Technology	",Is the data directly applicable to business goals and objectives?
Data Ownership & Stewardship ,"Data Tools & Technology	",Is the data easily accessible by authorised users without unnecessary barriers?
